species_id,scientific_name,common_name,family,edibility_status,toxicity_level
328,Micacei,Coprinellus sect. Micacei,,unknown,unknown
329,Clitocybe fragrans,Fragrant Funnel,,unknown,unknown
330,Leucocalocybe,,,unknown,unknown
331,Lentinus,Woodcaps and Sawgills,,unknown,unknown
332,Calyptella capula,bowl hoodie,,unknown,unknown
333,Anacamptis papilionacea,Pink-butterfly Orchid,,unknown,unknown
334,Gymnopus,,,unknown,unknown
335,Helvella,Elfin Saddles,,unknown,unknown
336,Cetraria crespoae,,,unknown,unknown
337,Pleurotus djamor,Pink Oyster Mushroom,,unknown,unknown
338,Descolea maculata,,,unknown,unknown
339,Naucoria,Aldercaps,,unknown,unknown
340,Clitopilus,,,unknown,unknown
341,Hypocreaceae,,,unknown,unknown
342,Suillellus queletii,Deceiving Bolete,,unknown,unknown
343,Tapinella atrotomentosa,Velvet-footed Tap,,unknown,unknown
344,Sparassis spathulata,Eastern cauliflower mushroom,,unknown,unknown
345,Desarmillaria,,,unknown,unknown
346,Mycena tenerrima,frosty bonnet,,unknown,unknown
347,Lactarius uvidus,Shiner,,unknown,unknown
348,Auricularia nigricans,Wood Ear mushroom,,unknown,unknown
349,Hemimycena,,,unknown,unknown
350,Panaeolus,Mottlegills,,unknown,unknown
