obs_id,species_id,location_id,time_id,edible,observation_count,media_count
5788858,3,112,95,,1,1
6141641,51,113,96,,1,1
6244931,9,114,97,,1,1
6415146,18,115,98,,1,1
6424057,52,116,99,,1,1
6433435,18,117,99,,1,1
6435923,53,118,97,,1,1
6759775,4,119,100,,1,1
6759807,1,120,101,,1,1
6759834,36,121,102,,1,0
6759835,36,122,102,,1,0
6759875,9,123,103,,1,1
6840466,3,124,104,,1,1
7102057,54,125,105,,1,1
7378371,9,126,106,,1,1
7378388,9,127,107,,1,1
7435292,6,128,108,,1,1
7444479,36,129,109,,1,1
7489441,18,130,110,,1,1
7540392,55,131,111,,1,1
7644776,39,132,112,,1,1
7714660,3,133,113,,1,1
7759303,12,134,114,,1,1
7776784,38,135,69,,1,1
7776792,4,136,69,,1,1
7776796,11,137,115,1.0,1,1
7795270,18,138,115,,1,1
7795277,4,139,116,,1,1
7818093,9,140,117,,1,1
7820770,29,141,118,,1,1
7820921,36,142,119,,1,1
7891902,30,143,120,,1,1
7917493,9,144,121,,1,1
7917501,9,144,121,,1,1
7917601,9,141,122,,1,1
7942383,4,145,123,,1,1
7948806,5,146,124,,1,1
7959629,29,147,125,,1,1
7963869,9,148,125,,1,1
7983621,9,149,68,,1,1
7983624,9,150,68,,1,1
7983625,9,151,68,,1,1
8007224,36,152,125,,1,1
8027062,36,153,125,,1,1
8040544,4,154,126,,1,1
8132943,29,155,127,,1,1
8139373,4,156,44,,1,1
8139374,39,157,127,,1,1
8167203,30,158,128,,1,1
8172688,9,159,127,,1,1
8200448,9,160,127,,1,1
8200525,39,161,127,,1,1
8200646,39,162,127,,1,1
8200769,3,163,127,,1,1
8202896,7,164,129,,1,1
8249112,9,165,130,,1,1
8313362,18,166,131,,1,1
8313365,18,167,131,,1,1
8313583,29,168,132,,1,1
8313585,9,169,132,,1,1
8324030,30,170,131,,1,1
8344997,4,171,133,,1,1
8425242,29,172,134,,1,1
8519112,3,173,135,,1,1
8531925,9,174,136,,1,1
8585244,9,175,137,,1,1
8598937,36,176,138,,1,1
8601496,4,177,44,,1,1
8601807,9,178,138,,1,1
8629504,56,179,139,,1,1
8693040,3,180,140,,1,1
8693139,29,181,140,,1,1
8693216,29,182,140,,1,1
8693231,9,183,140,,1,1
8693245,3,184,140,,1,1
8693273,36,185,140,,1,1
8707930,18,186,141,,1,1
8749464,9,187,142,,1,1
8750707,46,188,143,1.0,1,1
8760494,29,189,144,,1,1
8760671,9,190,144,,1,1
8779106,29,191,145,,1,1
8779354,29,192,145,,1,1
8780230,9,193,145,,1,1
8798869,9,194,146,,1,1
8872605,57,195,147,,1,1
9091010,4,196,148,,1,1
