species_name,season,region_pt,observation_count
Calocybe gambosa,spring,sul,11
Calocybe gambosa,summer,norte,20
Calocybe gambosa,summer,sul,6
Calocybe gambosa,winter,norte,1
Calocybe gambosa,winter,sul,2
Calonarius,winter,sul,1
Calvatia cyathiformis,spring,sul,1
Calyptella capula,winter,sul,1
Candolleomyces candolleanus,autumn,sul,1
Cantharellus,spring,sul,1
Cerioporus squamosus,autumn,norte,35
Cerioporus squamosus,autumn,sul,9
Cerioporus squamosus,spring,norte,57
Cerioporus squamosus,spring,sul,9
Cerioporus squamosus,summer,norte,38
Cerioporus squamosus,summer,sul,4
Cerioporus squamosus,winter,norte,7
Cerioporus squamosus,winter,sul,2
Cetraria crespoae,winter,sul,1
Chlorophyllum brunneum,autumn,norte,1
Chlorophyllum brunneum,spring,sul,1
Chlorophyllum brunneum,winter,sul,1
Chroogomphus,autumn,norte,1
Cladosporium,summer,sul,1
Clathrus ruber,autumn,sul,1
Clathrus ruber,summer,norte,1
Clathrus ruber,winter,sul,1
Clavulina,autumn,sul,1
Clitocybaceae,autumn,sul,1
Clitocybaceae,winter,norte,1
Clitocybe,autumn,norte,2
Clitocybe,winter,sul,5
Clitocybe fragrans,winter,sul,1
Clitocybe nebularis,autumn,sul,2
Clitopilus,autumn,norte,1
Clitopilus prunulus,autumn,norte,127
Clitopilus prunulus,autumn,sul,16
Clitopilus prunulus,summer,norte,25
Clitopilus prunulus,summer,sul,2
Clitopilus prunulus,unknown,norte,3
Clitopilus prunulus,winter,norte,2
Clitopilus prunulus,winter,sul,5
Collybia,autumn,sul,1
Collybia nuda,spring,norte,1
Collybia nuda,winter,norte,1
Collybia nuda,winter,sul,2
Collybia personata,autumn,sul,1
Conocybe,autumn,norte,1
Coprinellus,summer,norte,1
Coprinellus,winter,sul,2
Coprinellus disseminatus,spring,sul,1
Coprinellus domesticus,winter,sul,1
Coprinellus micaceus,autumn,sul,1
Coprinellus xanthothrix,winter,sul,1
Coprinopsis atramentaria,spring,norte,1
Coprinopsis lagopus,autumn,norte,120
Coprinopsis lagopus,autumn,sul,63
Coprinopsis lagopus,spring,norte,15
Coprinopsis lagopus,spring,sul,13
Coprinopsis lagopus,summer,norte,18
Coprinopsis lagopus,summer,sul,8
Coprinopsis lagopus,unknown,sul,4
Coprinopsis lagopus,winter,norte,7
Coprinopsis lagopus,winter,sul,37
Coprinopsis melanthina,autumn,sul,1
Coprinopsis picacea,autumn,sul,1
Coprinopsis picacea,winter,sul,1
Coprinus comatus,autumn,sul,3
Coprinus comatus,winter,sul,2
Cortinariaceae,winter,sul,1
Cortinarius clelandii,winter,sul,2
Cortinarius trivialis,autumn,sul,1
Cortinarius trivialis,winter,sul,2
Crepidotus,autumn,sul,1
Crepidotus,unknown,sul,1
Crepidotus,winter,sul,1
Cryptomarasmius corbariensis,autumn,sul,1
Cryptomarasmius corbariensis,winter,sul,1
Cupressus,winter,sul,1
Cyathus striatus,autumn,sul,1
Cyclocybe,winter,sul,1
Cyclocybe cylindracea,autumn,sul,6
Cyclocybe cylindracea,spring,norte,1
Cyclocybe cylindracea,spring,sul,1
Cyclocybe cylindracea,winter,sul,2
Cynomorium coccineum,autumn,sul,1
Cynomorium coccineum,spring,sul,280
Cynomorium coccineum,summer,sul,7
Cynomorium coccineum,unknown,sul,1
Cynomorium coccineum,winter,sul,62
Cystolepiota,winter,sul,1
Desarmillaria,winter,sul,1
Descolea maculata,summer,norte,1
Diploicia canescens,winter,sul,1
Domestici,spring,sul,1
Entoloma,spring,sul,3
Entoloma,winter,sul,2
Entoloma cistophilum,winter,sul,1
Entomophthora muscae,autumn,norte,1
Erynia,summer,sul,1
Flammulaster erinaceellus,autumn,sul,1
Flammulina velutipes,autumn,norte,1
Flammulina velutipes,spring,norte,2
Flammulina velutipes,winter,norte,3
Flammulina velutipes,winter,sul,1
Fomes,spring,norte,1
Fulminei,winter,norte,1
Fungi,autumn,norte,2150
Fungi,autumn,sul,1179
Fungi,spring,norte,630
Fungi,spring,sul,622
Fungi,summer,norte,420
Fungi,summer,sul,189
Fungi,unknown,norte,33
Fungi,unknown,sul,39
Fungi,winter,norte,1094
Fungi,winter,sul,1263
Fuscoporia torulosa,winter,sul,1
Fusicolla,winter,norte,1
Galactinia saniosa,winter,sul,1
Galerina,autumn,sul,2
Ganoderma,autumn,sul,1
Geoglossum,winter,sul,1
Gliophorus,autumn,norte,1
Gliophorus psittacinus,autumn,norte,33
Gliophorus psittacinus,autumn,sul,11
Gliophorus psittacinus,spring,norte,2
Gliophorus psittacinus,spring,sul,1
Gliophorus psittacinus,summer,norte,4
Gliophorus psittacinus,winter,norte,16
Gliophorus psittacinus,winter,sul,16
Glyphis cicatricosa,autumn,sul,1
Graphis,summer,sul,1
Gymnopilus,winter,sul,2
Gymnopilus junonius,autumn,norte,1
Gymnopilus junonius,autumn,sul,1
Gymnopilus junonius,winter,norte,1
Gymnopilus junonius,winter,sul,1
Gymnopilus suberis,winter,sul,1
Gymnopus,spring,sul,1
Gymnopus brassicolens,spring,sul,1
Gymnopus dryophilus,winter,sul,1
Gyroporus castaneus,autumn,norte,1
Gyroporus castaneus,winter,sul,1
Hebeloma cistophilum,winter,sul,1
Hebeloma crustuliniforme,winter,sul,1
Hebeloma sarcophyllum,winter,sul,1
Heimiomyces tenuipes,unknown,norte,1
Heimiomyces tenuipes,unknown,sul,1
Helvella,spring,sul,1
Helvella elastica,winter,sul,1
Helvella lacunosa,winter,sul,1
Hemileccinum impolitum,winter,sul,1
Hemimycena,autumn,sul,1
Hericium erinaceus,autumn,norte,32
Hericium erinaceus,autumn,sul,9
Hericium erinaceus,spring,norte,3
Hericium erinaceus,spring,sul,1
Hericium erinaceus,summer,norte,3
Hericium erinaceus,unknown,norte,1
